music,os,gender,height,weight,shoe,month,color,pet,number,prob,math
electronic,Windows,man,,,,,grey,dog,69,5,8
laika,Windows,man,1.82,83,45,nov,green,,13,9,5.5
laika,Windows,man,1.7,90,42.5,oct,blue,cat,19,9.5,10
hiphop,Windows,man,1.77,77,44,sep,blue,dog,77,2,3
hiphop,Windows,man,1.74,65,43,jun,black,dog,17,6,8.5
metal,Windows,man,1.87,90,45,apr,black,cat,25,7,5
rock,Windows,woman,1.72,85,41.5,may,blue,cat,37,0,1
pop,Windows,woman,1.65,75,38,oct,blue,dog,49,,
electronic,Windows,man,1.77,78,44,may,green,dog,55,10,10
rock,Windows,woman,1.66,64,42,jan,red,cat,29,10,10
pop,Windows,woman,1.67,62,41,jan,red,dog,63,7.5,8.5
jazz,Windows,woman,1.76,110,42,dec,purple,dog,99,6.5,6
pop,Windows,woman,1.7,63,40,apr,purple,cat,34,7.5,6.5
hiphop,MacOS,man,1.74,59,42,nov,green,cat,52,0,0
hiphop,Windows,man,1.93,95,46,nov,blue,dog,15,6,
hiphop,Windows,man,1.83,79,45,mar,blue,dog,2,6,7
rock,Windows,man,1.7,60,42,dec,blue,cat,76,7,6
electronic,Windows,woman,1.7,62,40,may,red,cat,70,8.5,9.5
laika,Windows,man,1.8,86,47,jul,red,dog,69,2,5
laika,Windows,man,1.92,72,47,oct,purple,dog,69,8,10
hiphop,Windows,man,1.84,90,45,jul,black,cat,67,6,6
hiphop,Windows,man,1.8,90,43,dec,blue,dog,19,1,4
classical,Windows,woman,1.8,90,41,feb,purple,dog,48,12,12
laika,Windows,woman,1.69,60,40,oct,blue,cat,23,10,10
hiphop,Windows,man,1.83,81,45,feb,purple,dog,69,8,7
laika,Windows,man,1.86,82,47,may,purple,cat,11,5,7.5
