id,acousticness,analysis_url,danceability,duration,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
15176,0.23199999332428,https://api.spotify.com/v1/audio-analysis/5wYsaAnkSGwRGnJdY59WmY,0.583999991416931,187533,0.254000008106232,0.746999979019165,9,0.165999993681908,-17.1720008850098,0.031199999153614,76.3509979248047,4,0.310999989509583
4593,0.108999997377396,https://api.spotify.com/v1/audio-analysis/1tjDLorlzpZRqdyeCCgxZT,0.583999991416931,186776,0.361000001430511,0.845000028610229,2,0.184000000357628,-16.2450008392334,0.0248000007122755,94.2429962158203,4,0.365000009536743
7891,0.166999995708466,https://api.spotify.com/v1/audio-analysis/34k1gvDzPZucODwOtCFxUX,0.691999971866608,190041,0.374000012874603,0.238000005483627,0,0.060199998319149,-15.753999710083,0.032600000500679,94.8960037231445,4,0.759999990463257
12702,0.547999978065491,https://api.spotify.com/v1/audio-analysis/4XyNVvrI4y5YXnX1e8xJJe,0.416999995708466,209528,0.141000002622604,0.017400000244379,9,0.112999998033047,-16.9930000305176,0.029899999499321,80.0039978027344,4,0.165999993681908
9909,0.0480000004172325,https://api.spotify.com/v1/audio-analysis/3w5CQPkzU1TBZla80wsQ4m,0.828999996185303,166296,0.398000001907349,0.00498999981209636,1,0.0798000022768974,-16.9179992675781,0.0516999997198582,124.877998352051,4,0.439999997615814
18746,0.028999999165535,https://api.spotify.com/v1/audio-analysis/7EksMFsPDfmtQEEXoOQ5MO,0.669000029563904,147226,0.254000008106232,0.723999977111816,7,0.116999998688698,-20.806999206543,0.0353999994695187,122.891998291016,4,0.542999982833862
5605,0.232999995350838,https://api.spotify.com/v1/audio-analysis/2aUXQS2aJIbebVXQ1TJQdo,0.39300000667572,211017,0.223000004887581,0.333000004291534,3,0.115000002086163,-15.9689998626709,0.0278999991714954,89.9100036621094,3,0.432000011205673
1046,0.495000004768372,https://api.spotify.com/v1/audio-analysis/0Htip1nZAF8Va70AwbT58A,0.561999976634979,188134,0.277999997138977,0.828999996185303,9,0.12899999320507,-17.3369998931885,0.033100001513958,76.306999206543,4,0.34400001168251
14693,0.28099998831749,https://api.spotify.com/v1/audio-analysis/5rcdZPfHK4mSxjgP68PS5n,0.592000007629395,177189,0.374000012874603,0.465000003576279,3,0.130999997258186,-16.2700004577637,0.0255999993532896,99.9349975585938,4,0.46000000834465
7094,0.354999989271164,https://api.spotify.com/v1/audio-analysis/2StNG4hcfuw1P4cinOIQOA,0.686999976634979,190198,0.382999986410141,0.508000016212463,0,0.0568999983370304,-14.6920003890991,0.0313999988138676,94.8870010375977,4,0.861999988555908
