name,_pseudocolumn
432hz,
a cappella,
abstract beats,
abstract hip hop,
acid jazz,
acoustic blues,
acoustic chill,
acoustic pop,
acoustic punk,
acoustic rock,
adult standards,
african gospel,
african rock,
african-american classical,
afro dancehall,
afro soul,
afrobeat,
afro-cuban percussion,
afrofuturism,
afropop,
aggrotech,
alabama rap,
alaska indie,
alberta country,
album rock,
alternative country,
alternative dance,
alternative hip hop,
alternative metal,
alternative pop,
alternative r&b,
alternative rock,
ambient,
ambient black metal,
ambient dub techno,
ambient industrial,
american choir,
american classical piano,
american folk revival,
american metalcore,
american modern classical,
american orchestra,
american post-rock,
american shoegaze,
amharic pop,
anime score,
anthem worship,
anti-folk,
apostolic worship,
appalachian folk,
arab electronic,
arab folk,
arab pop,
arabesk,
argentine alternative rock,
argentine hip hop,
argentine jazz,
argentine telepop,
arkansas country,
arkansas indie,
armenian pop,
art pop,
art rock,
atl hip hop,
atmospheric black metal,
atmospheric doom,
austin americana,
austindie,
australian americana,
australian children's music,
australian country,
australian dance,
australian electropop,
australian indie,
australian pop,
australian post-hardcore,
australian psych,
australian rock,
australian techno,
austrian choir,
austrian dnb,
austrian orchestra,
austro-german modernism,
austropop,
autonomous black metal,
avant-garde,
avant-garde jazz,
avant-garde metal,
axe,
azeri pop,
azeri rap,
azeri traditional,
azonto,
azontobeats,
background music,
backing track,
baiao,
balearic,
ballet class,
baltic choir,
banda,
banda caliente,
banda carnavalera,
bandoneon,
bangla pop,
banjo,
barbadian pop,
bard,
barockinterpreten,
baroque,
baroque ensemble,
baroque violin,
bass house,
bass music,
bass trap,
bass trip,
battle rap,
bboy,
bc underground hip hop,
beat poetry,
beatdown,
beatlesque,
beats,
bebop,
bedroom pop,
belarusian electronic,
belgian classical piano,
belgian contemporary classical,
belgian metal,
bhangra,
big band,
big beat,
big room,
birmingham metal,
birthday,
bisaya indie,
bitpop,
black metal,
black 'n' roll,
black speed metal,
blackened crust,
blackgaze,
bleep techno,
bluegrass,
bluegrass gospel,
blues,
blues rock,
bongo flava,
boogaloo,
boogie,
boom bap,
bossa nova,
bossa nova cover,
boston folk,
boston rock,
bouncy house,
boy band,
brazilian blues,
brazilian ccm,
brazilian edm,
brazilian grindcore,
brazilian heavy metal,
brazilian hip hop,
brazilian indie rock,
brazilian jazz,
brazilian reggae,
brazilian rock,
brega funk,
brill building pop,
brisbane indie,
british black metal,
british choir,
british experimental,
british folk,
british indie rock,
british industrial,
british invasion,
british modern classical,
british orchestra,
british soundtrack,
britpop,
broadway,
brostep,
brutal death metal,
brutal deathcore,
bubble trance,
bubblegrunge,
bubblegum pop,
buffalo ny indie,
bulgarian metal,
bulgarian pop,
bulgarian rock,
burmese pop,
burundian pop,
c86,
cabaret,
calming instrumental,
calypso,
