id,name,album_group,album_type,release_date,popularity
1062,Lucky Number 7,NULL,single,2021-02-12 00:00:00.0000000,39
1063,Avalon,NULL,album,2012-03-06 00:00:00.0000000,0
1064,"Quran,Short Sura`s, Vol. 1",NULL,album,2014-01-01 00:00:00.0000000,25
1065,My Last Affair,NULL,compilation,2011-11-14 00:00:00.0000000,0
1066,Burn,NULL,album,2013-08-26 00:00:00.0000000,0
1067,Embrace the Moment,NULL,single,2015-11-07 00:00:00.0000000,0
1068,The Music of Astor Piazzolla,NULL,compilation,2011-10-04 00:00:00.0000000,1
1069,Macarena,NULL,compilation,2013-10-18 00:00:00.0000000,0
107,Bailando Hits 2014,NULL,compilation,2014-09-19 00:00:00.0000000,0
1070,Polar AC,NULL,album,1975-01-01 00:00:00.0000000,8
1071,Bernard & Louise,NULL,album,1997-01-01 00:00:00.0000000,39
1072,Wheel Of Time,NULL,album,2010-11-01 00:00:00.0000000,0
1073,Dos Cantores,NULL,album,2007-03-30 00:00:00.0000000,0
1074,The Third Three Years,NULL,compilation,2014-11-24 00:00:00.0000000,18
1075,Plus One,NULL,single,2011-12-04 00:00:00.0000000,0
1076,"Aoi Shiori -Galileo Galilei- (From ""Ao Hana"")",NULL,album,2016-09-29 00:00:00.0000000,0
1077,Feel,NULL,album,2013-11-05 00:00:00.0000000,0
1078,"Chapter 6 - Live at Ekko, Utrecht 13.04.08",NULL,album,2004-01-01 00:00:00.0000000,0
1079,Set,NULL,album,1990-01-01 00:00:00.0000000,0
108,Spotify Singles,NULL,single,2021-03-17 00:00:00.0000000,42
1080,Ogni Tanto È Bello Stare Soli - 2001 Remaster,NULL,album,1986-10-01 00:00:00.0000000,0
1081,Ocean Avenue,NULL,album,2009-05-31 00:00:00.0000000,0
1082,Mi Ranchito,NULL,album,2001-01-07 00:00:00.0000000,0
1083,Drive,NULL,album,2015-09-04 00:00:00.0000000,0
1084,"Shake, Rattle and Roll",NULL,compilation,2011-08-12 00:00:00.0000000,0
1085,Dead Man' Dream,NULL,album,2004-08-30 00:00:00.0000000,0
1086,Down at the Old Bull and Bush,NULL,album,2000-11-01 00:00:00.0000000,0
1087,"Norma: Norma, Act I: Casta diva",NULL,compilation,2007-01-01 00:00:00.0000000,0
1088,Damai,NULL,album,2016-06-10 00:00:00.0000000,0
1089,Everything Will Rust,NULL,album,2013-01-01 00:00:00.0000000,0
109,Symphony No.5 In C Sharp Minor - 4th Movement,NULL,compilation,2010-05-01 00:00:00.0000000,0
1090,Bois bourgeois (Live),NULL,album,2016-10-14 00:00:00.0000000,0
1091,Pájaro Campana,NULL,compilation,2010-11-23 00:00:00.0000000,0
1092,Beethoven: Cello Sonatas & Variations,NULL,album,1976-01-01 00:00:00.0000000,11
1093,Baby Baby Baby,NULL,compilation,2007-06-22 00:00:00.0000000,0
1094,"The Moon, the Sky, Forever (From 'Sailor Moon')",NULL,compilation,2014-01-01 00:00:00.0000000,0
1095,Elif Dedim Be Dedim,NULL,album,1986-12-12 00:00:00.0000000,0
1096,Mendelssohn: Piano Quartets Nos. 2 and 3,NULL,album,1994-04-12 00:00:00.0000000,14
1097,This Is How We Do - Dance Remix,NULL,album,2015-09-18 00:00:00.0000000,0
1098,Sails of Charon,NULL,album,2010-05-05 00:00:00.0000000,0
1099,Jeopardy - Spanish Mix,NULL,album,2014-06-24 00:00:00.0000000,0
11,So This Is What We Doing?,NULL,album,2017-09-22 00:00:00.0000000,0
110,Night & Day I Miss You So,NULL,album,2013-01-01 00:00:00.0000000,0
1100,Waiting On,NULL,album,2012-05-06 00:00:00.0000000,0
1101,Kinsenka,NULL,album,2006-12-06 00:00:00.0000000,0
1102,Una Cancion de Amor,NULL,album,1999-09-08 00:00:00.0000000,0
1103,Dynamite (feat. Allday),NULL,single,2015-06-09 00:00:00.0000000,36
1104,"The Gang That Sang ""Heart of My Heart""",NULL,album,2009-06-04 00:00:00.0000000,0
1105,Blazing - Instrumental,NULL,album,2016-11-09 00:00:00.0000000,0
1106,Unknown Room,NULL,album,2019-03-08 00:00:00.0000000,19
1107,La Cumparsita,NULL,compilation,2013-04-29 00:00:00.0000000,0
1108,Mindfullness Meditation,NULL,album,2016-02-29 00:00:00.0000000,0
1109,Tell Her That I Love Her,NULL,album,2008-02-12 00:00:00.0000000,0
111,"Sleep over Pieces, Vol. 1",NULL,album,2007-12-21 00:00:00.0000000,4
1110,Tribal Drums of Africa,NULL,album,2011-02-16 00:00:00.0000000,0
1111,O Destino Não Quis,NULL,album,2015-11-13 00:00:00.0000000,0
1112,Jee P Funk,NULL,album,2011-06-01 00:00:00.0000000,0
1113,Embrace The Change,NULL,album,2009-09-25 00:00:00.0000000,0
1114,Imitation of Life,NULL,album,2010-07-20 00:00:00.0000000,0
1115,Organically Grown,NULL,album,2001-01-01 00:00:00.0000000,0
1116,El Rosalito,NULL,album,2014-01-17 00:00:00.0000000,0
1117,Finnish Folksongs With Kantele,NULL,single,1962-01-01 00:00:00.0000000,0
1118,Amor de Mis Amores,NULL,album,2015-01-08 00:00:00.0000000,0
1119,Take A Ride - Feat. Humboldt County Freestyle Kings,NULL,album,2005-01-01 00:00:00.0000000,0
112,Eastern monarchs,NULL,album,2015-01-12 00:00:00.0000000,0
1120,Drei Geistliche Chöre Op.37: 3. Regina coeli laetare,NULL,album,2015-01-01 00:00:00.0000000,0
1121,Left and Leaving - Live,NULL,album,2010-03-23 00:00:00.0000000,0
1122,Fo nou profité,NULL,compilation,2017-04-14 00:00:00.0000000,0
1123,"Danzas y Bailes de Chile: Zona Norte e Isla de Pascua, Vol. 1",NULL,compilation,2008-01-01 00:00:00.0000000,5
1124,L'addio,NULL,compilation,2009-08-17 00:00:00.0000000,0
1125,Dil Nachde (Live),NULL,album,2014-07-01 00:00:00.0000000,0
1126,Do You Hear What I Hear?,NULL,single,2013-11-19 00:00:00.0000000,0
1127,Take The A Train - from Let's Spend The Night Together,NULL,compilation,2011-04-27 00:00:00.0000000,0
1128,Vivaldi: Cello Sonatas,NULL,album,2019-09-06 00:00:00.0000000,15
1129,Ital Dub,NULL,album,2009-08-18 00:00:00.0000000,15
113,Regal Ceremony,NULL,album,2012-08-07 00:00:00.0000000,0
1130,In the Name of Love,NULL,compilation,2008-01-01 00:00:00.0000000,0
1131,When the Sun Shine's Through,NULL,single,2011-02-15 00:00:00.0000000,0
1132,Fetish for Fightin',NULL,compilation,2010-07-20 00:00:00.0000000,0
1133,"Lo, How A Rose E'er Blooming",NULL,album,1994-01-01 00:00:00.0000000,0
1134,You're the First the Last My Everything - Workout Mix + 125 bpm,NULL,album,2014-12-09 00:00:00.0000000,0
1135,"Vivaldi: Le quattro stagioni (The Four Seasons), Op. 8: Violin Concerto No. 1 in E Major, RV 269, ""La Primavera"". III. Allegro",NULL,album,1996-03-01 00:00:00.0000000,0
1136,Reiki Healing Hand,NULL,album,2014-04-14 00:00:00.0000000,0
1137,Mortuary Mary,NULL,album,2013-07-16 00:00:00.0000000,0
1138,Ser De Agua (REMASTERS),NULL,album,1991-01-01 00:00:00.0000000,45
1139,Tie Me Down,NULL,album,2002-01-01 00:00:00.0000000,0
114,She Loves You,NULL,album,2014-11-20 00:00:00.0000000,0
1140,Pelotero A La Bola,NULL,album,2002-06-24 00:00:00.0000000,0
1141,Hand Inna Di Air,NULL,album,2011-03-25 00:00:00.0000000,0
1142,Anthology,NULL,album,2003-01-21 00:00:00.0000000,40
1143,The First Train Heading South,NULL,album,2014-10-02 00:00:00.0000000,0
1144,Squad Goals,NULL,album,2016-09-30 00:00:00.0000000,0
1145,Cherry Blossom,NULL,album,2014-12-26 00:00:00.0000000,0
1146,Ideas,NULL,single,2015-12-11 00:00:00.0000000,0
1147,Ausar Auset and Heru (The Trinity),NULL,album,2016-08-22 00:00:00.0000000,0
1148,My Sweet Lord,NULL,compilation,2008-01-01 00:00:00.0000000,0
1149,Make You Cry - Sean Roman Remix,NULL,album,2015-03-30 00:00:00.0000000,0
115,Todo Me Gusta de Ti,NULL,album,1970-01-01 00:00:00.0000000,0
1150,Beautiful Vacation,NULL,single,2015-10-09 00:00:00.0000000,0
1151,Mounala Manasa,NULL,album,2006-01-01 00:00:00.0000000,0
1152,Boss (NES ver.),NULL,album,2014-01-01 00:00:00.0000000,0
1153,Aullan Sirenas,NULL,album,2017-06-29 00:00:00.0000000,0
1154,No Man's Land,NULL,album,2015-06-30 00:00:00.0000000,0
1155,The Main Attraction (Instrumental),NULL,album,2013-11-19 00:00:00.0000000,0
1156,Un Beso Y Una Flor,NULL,album,2009-01-01 00:00:00.0000000,0
1157,Don't You Rock Me Daddy-O,NULL,album,2006-01-01 00:00:00.0000000,0
1158,Chiang Mai,NULL,compilation,2014-09-05 00:00:00.0000000,0
1159,Rappin' Blues,NULL,single,1999-02-10 00:00:00.0000000,0
116,Te Quiero,NULL,album,1993-05-23 00:00:00.0000000,0
1160,Another Love (In the Style of Tom Odell) [Karaoke Instrumental Version],NULL,album,2013-07-24 00:00:00.0000000,0
1161,Stronger Now,NULL,album,2013-08-06 00:00:00.0000000,0
1162,Il cuore è uno zingaro,NULL,album,2008-06-10 00:00:00.0000000,0
1163,"Hope: Friends Gather/Caroling, Caroling",NULL,compilation,1996-12-01 00:00:00.0000000,0
1164,Trap Somethin',NULL,album,2013-11-18 00:00:00.0000000,0
1165,Villa Rides,NULL,album,2009-12-21 00:00:00.0000000,0
1166,Deeper (feat. Johnny Adkison),NULL,album,2016-03-01 00:00:00.0000000,0
1167,Broken Mirror - Italo Mix,NULL,single,1995-03-21 00:00:00.0000000,0
1168,Camino hacia la ruina,NULL,album,2000-01-01 00:00:00.0000000,29
1169,Prince Harry,NULL,album,2012-09-14 00:00:00.0000000,0
117,Ljubezen je kot mavrica Anika Horvat/Big Band in Simfoniki RTV Slovenija,NULL,album,2014-03-31 00:00:00.0000000,10
1170,Esprit Mélancolie,NULL,compilation,2009-03-30 00:00:00.0000000,0
1171,Incomplete (Re-Recorded),NULL,compilation,2014-06-10 00:00:00.0000000,0
1172,Unearthed: The Early Days,NULL,album,2004-01-01 00:00:00.0000000,3
1173,Musicione,NULL,compilation,1997-01-28 00:00:00.0000000,0
1174,Van Veen: Piano Music,NULL,album,2014-04-25 00:00:00.0000000,7
1175,Lullaby Renditions of the Ramones,NULL,album,2007-01-30 00:00:00.0000000,24
1176,Ascendit Deus,NULL,album,2015-03-03 00:00:00.0000000,0
1177,Doin' Me,NULL,album,2010-04-20 00:00:00.0000000,0
1178,Thunderstorm in the Backyard,NULL,album,2016-03-01 00:00:00.0000000,0
1179,"О, Варум",NULL,album,2007-01-01 00:00:00.0000000,0
118,Temporary Lover (Part Time Mix),NULL,album,2013-04-15 00:00:00.0000000,0
1180,Enfant Du Destin - (Daoud),NULL,album,2013-06-20 00:00:00.0000000,0
1181,San Remo,NULL,single,1957-08-30 00:00:00.0000000,0
1182,Hitler's Nipples,NULL,album,2008-01-01 00:00:00.0000000,0
1183,The Fire Of Love - No Breakbeat Edit,NULL,single,2008-09-16 00:00:00.0000000,0
1184,Going Home,NULL,album,1998-01-01 00:00:00.0000000,0
1185,I Want a Wraith (Bonus Track),NULL,album,2017-09-08 00:00:00.0000000,0
1186,Rendezvous,NULL,album,2015-07-17 00:00:00.0000000,0
1187,Cloud 9 - Instrumental Version,NULL,album,2015-10-16 00:00:00.0000000,0
1188,Coffee in the Gobi,NULL,album,2001-08-08 00:00:00.0000000,0
1189,Big House in the Glen,NULL,compilation,1995-01-13 00:00:00.0000000,0
119,And We Sing,NULL,album,2016-09-16 00:00:00.0000000,0
1190,I Wish That I Could Hurt That Way Again,NULL,compilation,2010-01-01 00:00:00.0000000,0
1191,All Your Shoes Talk,NULL,album,2013-10-15 00:00:00.0000000,0
1192,Maybe,NULL,compilation,2008-09-01 00:00:00.0000000,0
1193,Costureiriña Bonita,NULL,album,2007-05-01 00:00:00.0000000,0
1194,Essence,NULL,compilation,2015-08-19 00:00:00.0000000,0
1195,An Easy One,NULL,album,2004-01-01 00:00:00.0000000,0
