id,disc_number,duration,name,preview_url,track_number,popularity,is_playable
10029,1,142325,Selling It,https://p.scdn.co/mp3-preview/b32066096c87f2e869544b07ecc5c0eaba1670b6?cid=265ececd7a594f2daf93bc4496052326,4,1,NULL
1003,1,228780,Respect the Game,https://p.scdn.co/mp3-preview/921c04d6e7811e0f9ed4f0f0bed0c74ea87843c1?cid=cd552680dec84110b29ddf95d645cbe8,6,3,NULL
10030,1,330400,Too Much Love Will Kill You - Hi Nrg Remix,https://p.scdn.co/mp3-preview/49854043f5b80ce69c7afb65bee197e0ee431455?cid=265ececd7a594f2daf93bc4496052326,19,0,NULL
10031,1,377469,AtTalaq,https://p.scdn.co/mp3-preview/37429e84715c44e414410b56f540068454f19de7?cid=cd552680dec84110b29ddf95d645cbe8,18,2,NULL
10032,1,197640,Swarm,https://p.scdn.co/mp3-preview/b6d4a9be8ff821e57ccc6881b08e38a6452c0386?cid=265ececd7a594f2daf93bc4496052326,9,5,NULL
10033,3,279960,Vini séré,https://p.scdn.co/mp3-preview/9d4670ed8ab72d3d7b61c3667cc13e5277e5e231?cid=265ececd7a594f2daf93bc4496052326,16,1,NULL
10034,1,148820,Silent Night,https://p.scdn.co/mp3-preview/7908c8518d052d954e7fa635f79968e1c0d5e295?cid=1799bec70d3141cbb21fddcdc29e1616,39,0,NULL
10035,1,192549,On Fire,https://p.scdn.co/mp3-preview/6cd340d3b53d5c96f21cc466b062adf2abee6a1b?cid=cd552680dec84110b29ddf95d645cbe8,1,0,NULL
10036,1,308206,Come Back to Me,https://p.scdn.co/mp3-preview/8ba2074584fd2ced8cd366c1d528fffde36a5c2a?cid=1799bec70d3141cbb21fddcdc29e1616,13,0,NULL
10037,1,218440,Flunssalaulu,https://p.scdn.co/mp3-preview/0313e250d275c521a051708c80f40f82a9225047?cid=cd552680dec84110b29ddf95d645cbe8,7,1,NULL
10038,1,193213,Glizzy On Me,https://p.scdn.co/mp3-preview/9f96227ee27448e4461fb053b86539492d8dc726?cid=cd552680dec84110b29ddf95d645cbe8,4,15,NULL
10039,2,109906,Wipe Me Down,NULL,4,0,NULL
1004,1,62409,Neito kaunis,https://p.scdn.co/mp3-preview/4eadb99af6ff9557c9366121221dfd4bedaa0657?cid=cd552680dec84110b29ddf95d645cbe8,2,0,NULL
10040,2,320786,America,https://p.scdn.co/mp3-preview/f2c661a795dcbf000a813b5ca75505f323ecb26c?cid=cd552680dec84110b29ddf95d645cbe8,9,7,NULL
10041,2,322484,"Die Seiten der Welt, Kapitel 98",https://p.scdn.co/mp3-preview/a3ab8fd60fafc94a0d56d0d72cf7450a98ffb58e?cid=cd552680dec84110b29ddf95d645cbe8,6,22,NULL
10042,1,447440,Salvation - Tommy Four Seven Dub Mix,https://p.scdn.co/mp3-preview/25cae67d840b5e082566081a168ebb77d7816df4?cid=265ececd7a594f2daf93bc4496052326,8,0,NULL
10043,2,76106,The Sterling Song,https://p.scdn.co/mp3-preview/a0033f9d09170fc40e84298862a618fa49d30666?cid=265ececd7a594f2daf93bc4496052326,29,0,NULL
10044,1,291733,The Wheel,NULL,9,0,NULL
10045,1,284666,"To You Sweetheart, Aloha",NULL,11,0,NULL
10046,1,201186,I Don't Care Who Knows,NULL,5,0,NULL
10047,3,20026,"Orlando Furioso, RV 728, Act III, Scene 3: L'arco vuo frangerti",NULL,4,0,NULL
10048,1,244013,Terrorist or Toddler,https://p.scdn.co/mp3-preview/d6b9ac65512715bbedaa1e5c1fcd60b218b12c81?cid=265ececd7a594f2daf93bc4496052326,5,22,NULL
10049,1,308000,Just Equality - Electro Downbeat Mix,https://p.scdn.co/mp3-preview/a5c058966edbf6544516ea9a7aebc01bba62e092?cid=cd552680dec84110b29ddf95d645cbe8,50,1,NULL
1005,1,157733,Muchachita Loca,https://p.scdn.co/mp3-preview/de193ef545af851ed309b8b390b023620f4aa680?cid=cd552680dec84110b29ddf95d645cbe8,4,16,NULL
10050,3,228362,Colors - Instrumental Version,https://p.scdn.co/mp3-preview/463192f600301c315db91c2aab954b3f44f09c13?cid=cd552680dec84110b29ddf95d645cbe8,31,0,NULL
10051,1,231266,Stick Up,NULL,13,27,NULL
10052,1,467634,Wonderful People,https://p.scdn.co/mp3-preview/d7d8481440684121c4f794e227fa0270a5b5ceaa?cid=cd552680dec84110b29ddf95d645cbe8,3,38,NULL
10053,1,74081,Ghost Killer,NULL,31,0,NULL
10054,1,181320,Beyond the Forest Part. 10,https://p.scdn.co/mp3-preview/9d68f85bdb76f58228b74245bd26102e51ebbd4f?cid=1926fc0969d243ca946f290f8acd7fb3,10,0,NULL
10055,1,237386,Today,https://p.scdn.co/mp3-preview/53278cef73387cca5b4f8000943d62b5bded997d?cid=265ececd7a594f2daf93bc4496052326,9,7,NULL
10056,1,242413,Groovin' U (feat. Gregg Karukas),https://p.scdn.co/mp3-preview/585d8facdc55803870f22ce00835e7677f423588?cid=265ececd7a594f2daf93bc4496052326,7,33,NULL
10057,1,215360,Fresh Coat of Paint,https://p.scdn.co/mp3-preview/c5bde14dda6716d211669c4f5b1950c54611202f?cid=cd552680dec84110b29ddf95d645cbe8,9,0,NULL
10058,1,187000,Your Love - Radio Mix,https://p.scdn.co/mp3-preview/f2b55bb1f0c93b0e05c6c7f40f17ae360bd8b4e9?cid=265ececd7a594f2daf93bc4496052326,1,11,NULL
10059,1,240593,No Seas Cruel,NULL,20,0,NULL
1006,1,177840,Ruskevärsrock,https://p.scdn.co/mp3-preview/d22a54a7e5258cf5aa2ab6fb0f1cb1ce62813785?cid=cd552680dec84110b29ddf95d645cbe8,15,6,NULL
10060,1,206133,Love Me Or Leave Me,NULL,2,0,NULL
10061,1,358986,Bonus Jack,https://p.scdn.co/mp3-preview/c6f730e185ba798c5483278c39e10e6bf439b1af?cid=cd552680dec84110b29ddf95d645cbe8,3,3,NULL
10062,1,569025,"Samai Nahawand (Taqsim Qanun, Samai Thaqil 10/8, Samai Darij 6/8)",https://p.scdn.co/mp3-preview/33301b6b6c6d59f468036512b7159574e8250ad0?cid=265ececd7a594f2daf93bc4496052326,4,14,NULL
